,open_time,open_price
0,1556139600000,5409.00000000
1,1556143200000,5399.23000000
2,1556146800000,5413.32000000
3,1556150400000,5415.00000000
4,1556154000000,5426.98000000
5,1556157600000,5430.69000000
6,1556161200000,5403.97000000
7,1556164800000,5413.14000000
8,1556168400000,5400.02000000
9,1556172000000,5406.42000000
10,1556175600000,5380.94000000
11,1556179200000,5406.00000000
12,1556182800000,5403.08000000
13,1556186400000,5399.00000000
14,1556190000000,5438.03000000
15,1556193600000,5441.81000000
16,1556197200000,5431.40000000
17,1556200800000,5434.89000000
18,1556204400000,5418.82000000
19,1556208000000,5432.00000000
20,1556211600000,5458.22000000
21,1556215200000,5471.20000000
22,1556218800000,5475.98000000
23,1556222400000,5469.00000000
24,1556226000000,5477.15000000
25,1556229600000,5387.91000000
26,1556233200000,5215.00000000
27,1556236800000,5220.47000000
28,1556240400000,5268.11000000
29,1556244000000,5310.01000000
30,1556247600000,5389.19000000
31,1556251200000,5342.90000000
32,1556254800000,5318.45000000
33,1556258400000,5324.87000000
34,1556262000000,5305.04000000
35,1556265600000,5292.16000000
36,1556269200000,5301.25000000
37,1556272800000,5314.30000000
38,1556276400000,5314.80000000
39,1556280000000,5333.30000000
40,1556283600000,5330.61000000
41,1556287200000,5301.36000000
42,1556290800000,5311.39000000
43,1556294400000,5285.17000000
44,1556298000000,5262.32000000
45,1556301600000,5264.59000000
46,1556305200000,5245.48000000
47,1556308800000,5260.46000000
48,1556312400000,5279.11000000
49,1556316000000,5294.02000000
50,1556319600000,5307.63000000
51,1556323200000,5315.00000000
52,1556326800000,5300.93000000
53,1556330400000,5299.51000000
54,1556334000000,5293.68000000
55,1556337600000,5287.50000000
56,1556341200000,5285.38000000
57,1556344800000,5309.78000000
58,1556348400000,5318.02000000
59,1556352000000,5322.98000000
60,1556355600000,5298.31000000
61,1556359200000,5279.00000000
62,1556362800000,5282.99000000
63,1556366400000,5277.54000000
64,1556370000000,5266.23000000
65,1556373600000,5278.70000000
66,1556377200000,5284.80000000
67,1556380800000,5282.64000000
68,1556384400000,5301.31000000
69,1556388000000,5319.35000000
70,1556391600000,5307.98000000
71,1556395200000,5328.90000000
72,1556398800000,5329.05000000
73,1556402400000,5328.08000000
74,1556406000000,5324.05000000
75,1556409600000,5295.69000000
76,1556413200000,5310.16000000
77,1556416800000,5305.56000000
78,1556420400000,5291.58000000
79,1556424000000,5306.57000000
80,1556427600000,5298.31000000
81,1556431200000,5311.16000000
82,1556434800000,5312.36000000
83,1556438400000,5319.37000000
84,1556442000000,5320.19000000
85,1556445600000,5313.82000000
86,1556449200000,5329.79000000
87,1556452800000,5334.76000000
88,1556456400000,5320.46000000
89,1556460000000,5287.60000000
90,1556463600000,5296.99000000
91,1556467200000,5333.68000000
92,1556470800000,5320.00000000
93,1556474400000,5318.70000000
94,1556478000000,5308.12000000
95,1556481600000,5291.17000000
96,1556485200000,5280.02000000
97,1556488800000,5286.00000000
98,1556492400000,5313.05000000
99,1556496000000,5309.81000000
100,1556499600000,5325.35000000
101,1556503200000,5318.10000000
102,1556506800000,5320.44000000
103,1556510400000,5318.31000000
104,1556514000000,5327.27000000
105,1556517600000,5318.37000000
106,1556521200000,5318.27000000
107,1556524800000,5301.45000000
108,1556528400000,5303.49000000
109,1556532000000,5298.14000000
110,1556535600000,5266.61000000
111,1556539200000,5279.41000000
112,1556542800000,5241.39000000
113,1556546400000,5243.92000000
114,1556550000000,5260.94000000
115,1556553600000,5231.97000000
116,1556557200000,5254.06000000
117,1556560800000,5239.35000000
118,1556564400000,5241.92000000
119,1556568000000,5239.89000000
120,1556571600000,5214.00000000
121,1556575200000,5209.92000000
122,1556578800000,5213.87000000
123,1556582400000,5238.14000000
124,1556586000000,5243.90000000
125,1556589600000,5253.86000000
126,1556593200000,5242.70000000
127,1556596800000,5217.60000000
128,1556600400000,5201.00000000
129,1556604000000,5203.50000000
130,1556607600000,5209.94000000
131,1556611200000,5222.00000000
132,1556614800000,5231.80000000
133,1556618400000,5222.73000000
134,1556622000000,5258.00000000
135,1556625600000,5282.32000000
